,Node/Line,Capacity (MW)
18959,LT-LTEV2W,355.01265489
19028,LT-LTEV2W V2g,355.01265489
19061,LT-LTH2R1 Expansion,1000.0
19097,LT-LTRETE,100000.0
19156,LT-LTSNR1,100000.0
19189,LT-LV,950.0
19261,LT-PL,500.0
19333,LT-PL Real 1,700.0
19405,LTRETE-LTEV2W,189.37062762
19477,LTRETE-LTEV2W V2g,189.37062762
19513,LT-SE4,700.0
19597,LVH2R1-LVSNR1,100000.0
19630,LV-LVEV2W,284.21771829
19699,LV-LVEV2W V2g,284.21771829
19745,LV-LVRETE,100000.0
19803,LV-LVSNR1,100000.0
19836,LVRETE-LVEV2W,110.39849684
19908,LVRETE-LVEV2W V2g,110.39849684
19944,MA-ES,600.0
20016,MAH2MT-ESH2MT,100000.0
20046,MAH2MT-ITH2MT,100000.0
20076,ME-RS,580.0
20160,MK-AL Real 1,500.0
20280,MK-RS,450.0
20445,NLH2R1-NLSNR1,100000.0
20478,NL-NLEV2W,1514.29765285
20547,NL-NLEV2W V2g,1514.29765285
20580,NL-NLH2R1 Expansion,2000.0
20616,NL-NLRETE,100000.0
20688,NL-NLSNR1,100000.0
20721,NL-NOS,700.0
20793,NLRETE-NLEV2W,1568.83762627
20865,NLRETE-NLEV2W V2g,1568.83762627
20901,NL-UK,1000.0
20973,NL-UK Real 1,2000.0
21045,NOH2MT-BEH2MT,100000.0
21081,NOH2MT-DEH2MT,100000.0
21117,NOH2MT-FRH2MT,100000.0
21153,NOH2MT-NLH2MT,100000.0
21189,NOH2MT-UKH2MT,100000.0
21225,NOM1-NON1,1300.0
21297,NOM1-NOS,1400.0
21368,NOM1-SE2,600.0
21440,NON1-SE1,700.0
21512,NON1-SE2,250.0
21584,NOS-SE3,2145.0
21668,NOS-UK Real 1,1400.0
21812,PLH2MT-SKH2MT (1) Expansion,509.64583322
21884,PLH2MT-SKH2MT (2) Expansion,3552.53125
21956,PLH2R1-PLSNR1,100000.0
21989,PL-PLEV2W,1278.1562997
22059,PL-PLEV2W V2g,1278.1562997
22093,PL-PLH2R1 Expansion,12000.0
22135,PL-PLRETE,100000.0
22190,PL-PLSNR1,100000.0
22223,PL-PLE,3000.0
22259,PLRETE-PLEV2W,1295.06645295
22331,PLRETE-PLEV2W V2g,1295.06645295
22367,PL-SE4,600.0
22439,PLE-CZ,800.0
22475,PLE-DE,3000.0
22511,PLE-SK,990.0
22547,PLI-PL,2000.0
22595,PTH2R1-PTSNR1,100000.0
22628,PT-PTEV2W,900.43494208
22695,PT-PTEV2W V2g,900.43494208
22726,PT-PTH2R1 Expansion,4000.0
22762,PT-PTRETE,100000.0
22822,PT-PTSNR1,100000.0
22855,PTRETE-PTEV2W,933.4083279
22927,PTRETE-PTEV2W V2g,933.4083279
22975,ROH2R1-ROSNR1,100000.0
23008,RORETE-ROEV2W,808.25266045
23080,RORETE-ROEV2W V2g,808.25266045
23116,RO-ROEV2W,1026.13053846
23179,RO-ROEV2W V2g,1026.13053846
23206,RO-ROH2R1 Expansion,7000.0
23242,RO-RORETE,100000.0
23300,RO-ROSNR1,100000.0
23333,RO-RS,476.0
23405,RO-RS Real 1,680.0
23477,RO-RS Real 2,844.0
23549,RO-UA1,150.0
23621,RU-FI,353.47796143
23654,RU-LV,300.0
23690,RU-NON1,50.0
23735,SE1H2MT-SE2H2MT,100000.0
23804,SE1H2R1-SE1SNR1,100000.0
23837,SE1RETE-SE1EV2W,70.95180567
23909,SE1RETE-SE1EV2W V2g,70.95180567
23945,SE1-SE1EV2W,252.11816955
24013,SE1-SE1EV2W V2g,252.11816955
24056,SE1-SE1RETE,100000.0
24112,SE1-SE1SNR1,100000.0
24145,SE1-SE2,3300.0
24229,SE2H2MT-SE3H2MT,100000.0
24298,SE2H2R1-SE2SNR1,100000.0
24331,SE2RETE-SE2EV2W,120.61806964
24403,SE2RETE-SE2EV2W V2g,120.61806964
24439,SE2-SE2EV2W,292.53384482
24507,SE2-SE2EV2W V2g,292.53384482
24539,SE2-SE2H2R1 Expansion,1000.0
24563,SE2-SE2RETE,100000.0
24620,SE2-SE2SNR1,100000.0
24653,SE2-SE3,8900.0
24737,SE3H2MT-SE4H2MT,100000.0
24809,SE3H2R1-SE3SNR1,100000.0
24878,SE3RETE-SE3EV2W,631.47107045
24950,SE3RETE-SE3EV2W V2g,631.47107045
24986,SE3-SE3EV2W,708.23793337
25055,SE3-SE3EV2W V2g,708.23793337
25087,SE3-SE3H2R1 Expansion,4000.0
25123,SE3-SE3RETE,100000.0
25178,SE3-SE3SNR1,100000.0
25211,SE3-SE4,6200.0
25295,SE4H2R1-SE4SNR1,100000.0
25328,SE4RETE-SE4EV2W,170.28433354
25400,SE4RETE-SE4EV2W V2g,170.28433354
25436,SE4-SE4EV2W,332.94952009
25506,SE4-SE4EV2W V2g,332.94952009
25539,SE4-SE4H2R1 Expansion,1000.0
25575,SE4-SE4RETE,100000.0
25631,SE4-SE4SNR1,100000.0
25676,SIH2R1-SISNR1,100000.0
25709,SIRETE-SIEV2W,206.56609381
25781,SIRETE-SIEV2W V2g,206.56609381
25817,SI-SIEV2W,362.47362204
25886,SI-SIEV2W V2g,362.47362204
25918,SI-SIRETE,100000.0
25984,SI-SISNR1,100000.0
26029,SKH2R1-SKSNR1,100000.0
26146,SK-PLI,990.0
26182,SKRETE-SKEV2W,283.29717329
26254,SKRETE-SKEV2W V2g,283.29717329
26290,SK-SKEV2W,419.35805358
26357,SK-SKEV2W V2g,419.35805358
26387,SK-SKRETE,100000.0
26441,SK-SKSNR1,100000.0
26474,SK-UA1,650.0
26546,TN-IT,600.0
26714,UK-FR Real 1,1000.0
26762,UKH2R1-UKSNR1,100000.0
26795,UK-NOS,1400.0
26867,UKRETE-UKEV2W,5299.13487187
26939,UKRETE-UKEV2W V2g,5299.13487187
26975,UK-UKEV2W,4506.52613549
27044,UK-UKEV2W V2g,4506.52613549
27077,UK-UKH2R1 Expansion,3000.0
27113,UK-UKRETE,100000.0
27168,UK-UKSNR1,100000.0
27201,UK-UKNI,450.0
27273,UK-UKNI Real 1,700.0
27357,UKNIH2R1-UKNISNR1,100000.0
27390,UKNIRETE-UKNIEV2W,85.07583483
27462,UKNIRETE-UKNIEV2W V2g,85.07583483
27498,UKNI-UKNIEV2W,263.61152803
27568,UKNI-UKNIEV2W V2g,263.61152803
27627,UKNI-UKNIRETE,100000.0
27683,UKNI-UKNISNR1,100000.0
