Load_res;LFW;Load;LFS
120596616;0.762251308;66220755;0.00
15073464;0.773988873;6626.32;0.00
23047836;0.771744337;6999.44;1.61E-05
282430176;0.771620383;744813675;0.009229438
303081744;0.769816364;77995085;0.037043904
329131152;0.765395946;797131825;0.054688294
331691136;0.770902399;80956925;0.069430334
317255904;0.767727249;8080.23;0.060247462
314297088;0.757742215;81329175;0.030853975
308525952;0.724949503;83065225;0.009502909
322908096;0.678281484;850826425;0.000668015
378823032;0.65517822;889051675;0.00
38278296;0.625765659;872084475;0.00
343458864;0.691132733;82822625;0.00
321751248;0.683536212;7989453;0.00
296595096;0.69963317;768372975;0.00
256723152;0.694365092;781609475;0.00
21494424;0.731762248;789659125;0.00
